Word,Type,Meaning,Page
déclarer,,申报、表明,148
déclarer une naissance,,出生报户口,148
décoller,(v.i.),起飞,180
dedans,(adv.),在前面,174
défaire,(v.t.),"拆开、打开",190
défilé,(n.m.),游行,112
dehors,(adv.),在外面,174
déjeuner,(v.i.),吃午饭,"78, 104"
"délicieux, se",(adj.),"鲜美的、口感好的",104
demander,(v.t.),"问、要求","8, 22, 34"
demander un visa,,申请签证,186
déménager,(v.i.),搬家,74
demi-heure,(n.f.),半小时,110
"démodé, e",(adj.),"过时的、不再流行的",62
dent,(n.f.),牙齿,"44, 50"
dentifrice,(n.m.),牙膏,80
dentiste,(n.),牙医,"50, 126"
département,(n.m.),(法国的)省,156
dépenser,(v.t.),花费,138
déposer,(v.t.),存放,140
déposition,(n.f.),报案,148
"dernier, ère",(adj.),最后的,174
de rien,,不用谢,6
derrière,(prép.),在...后面,166
dès,(prép.),就,38
descendre,(v.i.),下来,74
déshabiller (se),(v.pron.),脱衣,64
"désolé, e",(adj.),"抱歉、难过的",6
dessert,(n.m.),饭后甜食,104
dessiner,(v.t.),素描,208
destinataire,(n.m.),收信人,146
destination,(n.f.),目的地,180
devant,(prép.),在...前面,172
développer,(v.t.),冲洗(照片),190
diamant,(n.m.),钻石,64
Dieu,(n.m.),上帝,6
dinde,(n.f.),火鸡肉,88
dîner,(v.i.),吃晚饭,"8, 78, 104"
diplôme,(n.m.),毕业文凭,118
dire,(v.t.),"说、讲","6, 34"
direct, e,(adj.),直达的,180
"directeur, directrice",(n.),经理,38
discothèque,(n.f.),迪斯科舞厅,196
discuter,(v.t.),"讨论、争论",36
dispute,(n.f.),争吵,22
disputer (se),(v.pron.),争吵,22
disque compact (CD),(n.m.),激光唱片,132
disquette,(n.f.),软盘,130
distributeur de billets,(n.m.),自动取款机,138
divorcer,(v.i.),离婚,22
document,(n.m.),文件,148
documentaire,(n.m.),纪录片,132
doigt,(n.m.),手指,44
domaine,(n.m.),领域,126
dommage,(n.m.),"可惜、遗憾",36
donner,(v.t.),给予,8
dormir,(v.i.),睡觉,"8, 188"
dos,(n.m.),背,44
dossier,(n.m.),档案,148
douche,(n.f.),淋浴,"74, 80"
"doux, ce",(adj.),"温柔的、暖和的、甜的","30, 160"
draps,(n.m.),床单,72
droit,(adv.),笔直,172
droite,(n.f.),右面,"6, 172"
durer,(v.i.),持续,116
éboueur,(n.m.),环卫工人,8
écharpe,(n.f.),围巾,64
échecs,(n.m.pl.),棋,200
éclair,(n.m.),闪电,162
éclair au café,(n.m.),咖啡奶油蛋糕,92
école,(n.f.),学校,"78, 116, 166"
École des mines,,矿务学校,116
école maternelle,(n.f.),幼儿园,116
École normale supérieure,,高等师范大学,116
école primaire,(n.f.),小学,116
économies,(n.f.pl.),积蓄,138
économique,(adj.),经济的,146
économiser,,"攒（钱）、节约",138
écouter,(v.t.),听,"34, 78"
écrire,(v.t.),写,208
écrire à la main,,手写,8
EDF,,法国电力公司,140
"éducatif, ve",(adj.),教育的,148
"égal, e",(adj.),"一样的、平等的",36
église,(n.f.),教堂,"20, 166"
égoïste,(adj.),自私的,30
"électricien, ne",(n.),电工,124
"élégant, e",(adj.),"优美的、雅致的",64
élève,(n.),学生,116
élever,(v.t.),饲养,166
embarquement,(n.m.),登机,180
embrasser (s'),(v.pron.),"拥抱、亲吻","4, 20"
embrasser,(v.t.),拥抱,20
embrasser un enfant,,亲吻小孩,4
émission,(n.f.),(电视)节目,132
emmener,(v.t.),带走,46
émotion,(n.f.),"激情、情感",20
emploi,(n.m.),工作,126
emploi du temps,(n.m.),时间表,108
emporter,(v.t.),带走,186
emprunter,(v.t.),"借、借用","140, 208"
en cas de perte ou de vol...,,万一发生遗失或失窃...,138
enceinte,(adj.f.),怀孕的,52
"enchanté, e",(adj.),荣幸的,4
enfance,(n.f.),童年,16
enfant,(n.),孩子,"2, 14, 22, 46"
en général,(loc. adv.),"一般、通常",34
enlever,(v.t.),"拿走、搬走、脱、摘掉","46, 64"
ennuyer (s'),(v.pron.),感到无聊,24
"ennuyeux, se",(adj.),使人厌倦的,24
ensemble,(adv.),和...一起,20
ensemble,(n.m.),女式套装,62
entendre,(v.t.),听见,"50, 208"
entraînement,(n.m.),训练,198
entre,(prép.),在...之间,174
entrecôte,(n.f.),牛排,88
entrée,(n.f.),"门厅、第一道正菜","70, 104"
entreprise,(n.f.),企业,124
entrer,(v.i.),进入,"4, 46"
environ,(adv.),左右,8
envoyer,(v.t.),邮寄,"8, 78, 146"
épicerie,(n.f.),食品杂货店,"90, 166"
épinards,(n.m.),菠菜,86
épouvantable,(adj.),恐怖的,160
équipe,(n.f.),球队,198
équipements,(n.m.),设施,198
escalier,(n.m.),楼梯,74
escalope (= une tranche),(n.f.),小牛肉薄片(一片),88
essayer,(v.t.),试衣,66
essence,(n.f.),汽油,178
est,(n.m.),东,152
estomac,(n.m.),胃,44
étage,(n.m.),楼层,74
étagère,(n.f.),架子,72
États-Unis,(n.pr.m.),美国,152
Et avec ceci?,,除了这些（还要别的东西吗）?,98
Et comme plat?,,主菜呢? (您吃什么?), 104
été,(n.m.),夏天,108
éteindre,(v.t.),熄火,74
"éteint, e",(adj.),"关闭的、熄灭的",130
étoile,(n.f.),明星,152
"étonné, e",(adj.),"吃惊的、惊讶的",24
"étranger, ère",(adj. et n.),"外国的、外国人","152, 186"
être,(v.i.),是,4
être abonné à,,订阅...,132
être à l'heure,,准时到,112
être bon en,,在...成绩好,118
être composé de,,由...组成,104
être d'accord,,同意,36
être en bonne (mauvaise) santé,,身体好(不好),50
étrennes,(n.f.),压岁钱,8
"être perdu, e",,迷路,172
être reçu,,被录取,116
études,(n.f.pl.),学习,116
"étudiant, e",(n.),大学生,116
euro,(n.m.),欧元,136
Europe,(n.pr.f.),欧洲,118
Europe des Quinze,,欧洲十五国,154
évier,(n.m.),水斗,72
examen,(n.m.),考试,"8, 116"
Excusez-moi,,请原谅我,6
exister,(v.i.),存在,126
expéditeur,(n.m.),寄信人,146
expliquer,(v.t.),解释,34
exposition,(n.f.),展览,208
expression officielle,,正式场合表达,110
expression usuelle,,常用表达,110
extérieur,(n.m.),外部,"98, 174"
extraordinaire,(adj.),"特别的、非同寻常的",28
fac (faculté) de médecine,(n.f.),"医学系、医科",116
fac de lettres,(n.f.),"文学系、文科",116
fac de sciences,(n.f.),理科,116
facteur,(n.m.),邮递员,"8, 146"
facture,(n.f.),发票,"74, 140"
faculté,(n.f.),系,116
faim,(n.m.),饥饿,104
farine,(n.f.),面粉,90
"fatigué, e",(adj.),疲劳的,50
fauteuil,(n.m.),"扶手椅、单人沙发","50, 72"
félicitation,(n.f.),祝贺,6
"féminin, e",(adj.),阴性的,126
femme,(n.f.),"女人、女士、妻子","8, 14"
fenêtre,(n.f.),窗,70
ferme,(n.f.),农庄,166
fermer,(v.t.),"关、锁(门)",74
fermier,(n.m.),农夫,166
fesse,(n.f.),臀部,44
février,(n.m.),二月,108
feu,(n.m.),火,"112, 148"
feu d'artifice,(n.m.),焰火,112
feuille,(n.f.),树叶,166
fièvre,(n.f.),发烧,50
filet,(n.m.),牛里脊,88
fille,(n.f.),女儿,14
film,(n.m.),胶卷,186
fils,(n.m.),儿子,14
"fin, fine ≠ épais, épaisse",(adj.),薄的 ≠ 厚的,96
"finlandais, e",(adj. et n.),"芬兰的、芬兰人",154
Finlande,(n.pr.f.),芬兰,154
finnois,(n.m.),芬兰语,154
fisc,(n.m.),税务局,148
fleur,(n.f.),花,"112, 166"
fleuve,(n.m.),江,156
flûtiste,(n.),笛子演奏者,208
foie gras,(n.m.),肥鹅肝,104
fond,(n.m.),"底、深处",174
football,(n.m.),足球,196
forêt,(n.f.),森林,166
forme,(n.f.),"样子、形状",66
four,(n.m.),烤箱,72
fourchette,(n.f.),叉子,102
fraise,(n.f.),草莓,"86, 90"
framboises,(n.f.),覆盆子,86
franc,(n.m.),法郎,136
français,(n.m.),法语,154
"franc, che",(adj.),坦率的,30
"français, e",(adj. et n.),"法国的、法国人",154
frange,(n.f.),刘海,58
frapper à la porte,,敲门,74
frère,(n.m.),兄弟,14
frigo,(n.m.),电冰箱,72
"frisé, e",(adj.),卷曲的,58
"froid, e",(adj.),冷淡的,30
fromage,(n.m.),奶酪,96
frontière,(n.f.),"国界、边界",156
"furieux, se",(adj.),狂怒的,24
"gagner (v.t.)","挣钱、赢","136, 198"
gagner bien sa vie,,挣钱多,136
galette,(n.f.),煎饼,112
gants (m.pl.) en laine,,羊毛手套,64
garage,(n.m.),车库,70
garagiste,(n.),汽车修理铺经营者,178
garçon,(n.m.),男孩,16
"gardien, ne",(n.),看门人,124
gare,(n.f.),火车站,180
garer,(v.t.),停车,178
gâteau,(n.m.),蛋糕,92
gauche,(n.f.),左边,172
gendre,(n.m.),女婿,14
"généreux, se",(adj.),慷慨大方的,28
"génial, e",(adj.),天才的,206
génie,(n.m.),天赋,206
"gentil, le",(adj.),"和蔼可亲的、可爱的","30, 36"
gigot,(n.m.),羊后腿肉,88
glace,(n.f.),"冰、冰激淋","92, 162"
gomme,(n.f.),橡皮,82
goûter,(n.m.),下午茶,104
"grand, e",(adj.),"高的、大的",56
"grand(e) ami(e)",,"好友、深交",22
Grande-Bretagne,(n.pr.f.),大不列颠,154
grandes écoles,(n.f.pl.),重点高校,116
grandes vacances,(n.f.pl.),长假(即暑假),116
grandir,(v.i.),"长高、长大",16
grand-mère,(n.f.),"祖母、外祖母",14
grand-père,(n.m.),"祖父、外祖父",14
grands-parents,(n.m.pl.),"祖父母、外祖父母",14
grave,(adj.),严重的,50
grec,(n.m.),希腊语,154
"grec, grecque",(adj. et n.),"希腊的、希腊人",154
grippe,(n.f.),流感,50
"gris, e",(adj.),灰色的,58
"gros, se",(adj.),胖的,56
grossir,(v.i.),发胖,56
groupe,(n.m.),团体,186
"guéri, e",(adj.),痊愈的,50
guide,(n.m.),"向导、指南",186
guitare,(n.f.),吉他,208
gymnastique,(n.f.),体操,198
"habillé, e",(adj.),穿好衣服的,62
habiller (s'),(v.pron.),穿衣,64
"habitant, e",(n.),居民,156
habiter,(v.t. ou v.i.),居住,"16, 74"
habitude,(n.f.),习惯,64
halle,(n.f.),"室内大型菜场、市场",98
handicap,(n.m.),"障碍、缺陷",50
"handicapé, e",(adj. ou n.),残疾人,50
haricots verts,(n.m.pl.),四季豆,86
