Word,Type,Meaning,Page
violoniste,(n.m.),小提琴家,29
virage,(n.m.),"拐角、弯道、改变方向",218
virement,(n.m.),"转账、划账",170
virer,(v.t.),"转账、划账",170
visa,(n.m.),签证,224
visage,(n.m.),脸,74
viscose,(n.f.),粘胶纤维,94
vitesse,(n.f.),速度,218
vitre,(n.m.),(门的)窗的玻璃,118
vitrine,(n.f.),橱窗,180
vivant,(e (adj.)),活着的,128
vivre,(v.i.),生活,24
vodka,(n.f.),伏特加酒,176
vœu,(n.m.),心愿,6
voie,(n.f.),"铁道、铁轨",212
voilage,(n.m.),大的窗纱帘,106
voile,(n.f.),帆,206
voisin,(n.m.),邻居,102
voiture,(n.f.),客车车厢,212
vol,(n.m.),"飞行、飞行航班",214
volaille,(n.f.),家禽,66, 176
volant,(n.m.),方向盘,216
volant (n.m.),羽毛球,216
voler,(v.i.),飞,70
volet,(n.m.),"护窗板、百叶窗",106
voleur,(n.m.),"扒手、贼",67
volley-ball,(n.m.),排球,204
volontiers,(adv.),"乐意地、自愿地",150
volume,(n.f.),"音高、音量",144
vouvroiement,(n.m.),用“您”称呼,2
voyage,(n.m.),旅行,24
voyageur,(n.m.),旅客,212
vrai,(e (adj.)),"真实的、确实的",6
vue,(n.f.),"视觉、视力、观点、意见",78, 156
wagon,(n.m.),车厢,212
whisky,(n.f.),威士忌,176
yaourt,(n.m.),酸奶,190
yen,(n.m.),日元,170
zapper,(v.i.),用遥控器来转换电视频道,144
zèbre,(n.m.),斑马,70
zéro,(n.m.),零,38
Zimbabwe,(n.m.),津巴布韦,10
zoo,(n.m.),动物园,70, 200
zut,(interj.),"得子、见鬼、倒霉",150
