Word,Type,Meaning,Page
chasser,(v.t.),"打猎、狩猎；驱赶",68
chasseur,(n.m.),猎人,68
chat,(n.m.),猫,66
châtain,(adj.),"褐色的、栗色的",84
château,(n.m.),城堡,226
"chaud, e",(adj.),"热的、暖的",46
chauffer,(v.t.),"加热、烧热","53, 102, 189"
chauffeur,(n.m.),司机,132
chausser,(v.t.),"穿（鞋）、替某人穿（鞋）",98
chaussette,(n.f.),中袜,94
chaussure,(n.f.),鞋子,94
chauve,(adj.),"秃的、秃顶的",88
chemin,(n.m.),"路、道路、小道",56
cheminée,(n.f.),"暖炉、烟囱",102
chemise,(n.f.),衬衫,92
chemisier,(n.m.),女式长袖衬衫,92
chèque,(n.m.),支票,168
chéquier,(n.m.),支票簿,168
"cher, chère",(adj.),"亲爱的；昂贵的、高贵的；珍贵的","6, 156"
chercher,(v.t.),寻找,98
"chéri, e",(n.),亲爱的人,25
"cheval, aux",(n.m.),马,66
chevet,(n.m.),"床头、枕边",104
"cheveu, x",(n.m.),头发,74
cheville,(n.f.),踝关节,74
chèvre,(n.f.),"山羊、北山羊","66, 176"
chevreuil,(n.m.),狍子,68
chic,(adj.),"优美的、别致的；亲切、可爱",192
chic,(interj.),"太好了！太好了！",150
chien,(n.m.),"狗、犬",66
chiffon,(n.m.),"破布、碎布、旧布",118
chiffre,(n.m.),数字,"127, 168"
chimie,(n.f.),化学,126
chirurgien,(n.m.),外科医生,132
chocolat,(n.m.),巧克力,"35, 176"
choisir,(v.t.),选择,168
chômage,(n.m.),失业,134
"chômeur, se",(n.),失业者,134
chouette,(interj.),"好哇！真棒！",150
chrysanthème,(n.m.),菊花,60
ciboulette,(n.f.),细香葱,176
ciel,(n.m.),"天、天空",48
cigare,(n.m.),雪茄,178
cigarette,(n.f.),香烟,178
cimetière,(n.m.),墓地,28
cinquantaine,(n.f.),五十来岁,86
cintre,(n.m.),衣架,104
circuit,(n.m.),"(体育比赛的)环形路线；旅游线路","204, 228"
circulation,(n.f.),交通,212
circuler,(v.i.),"通行、来往",218
cirer,(v.t.),打蜡,118
cirque,(n.m.),马戏团,200
citron,(n.m.),柠檬,62
citronnier,(n.m.),柠檬树,62
"civil, e",(adj.),"平民的、国内的、非军事的",24
"clair, e",(adj.),"明亮的、明确的",46
classe,(n.f.),等次,212
classeur,(n.m.),文件夹,178
classique,(adj.),"古典的、古典派的",98
clavier,(n.m.),键盘,140
clé,(n.f.),钥匙,102
climat,(n.m.),气候,48
cliquer,(v.i.),点击（鼠标）,140
clôture,(n.f.),"围墙、栅栏；篱笆",102
club,(n.m.),俱乐部,206
cochon,(n.m.),猪,66
cocotte,(n.f.),小锅,188
cocotte-minute,(n.f.),"压力锅、高压锅",188
code secret,(n.m.),密码,168
cœur,(n.m.),"心、心脏","6, 76"
